# light	lc	os
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M19	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z1_G11_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z1_G11_AISLE_1_G1_13T_MM19_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M22	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z1_G12_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z1_G12_AISLE_1_G1_3S_SM22_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M25	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z1_G13_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z1_G13_AISLE_1_G1_5T_SM25_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M27	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z1_G14_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z1_G14_AISLE_1_G1_5R_SM27_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M48	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G3_WORKSTATIONS4_MM48_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M49	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G4_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G4_WORKSTATIONS4_MM49_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M50	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G5_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G5_WORKSTATIONS4_MM50_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M51	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G6_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G6_WORKSTATIONS4_MM51_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M53	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G10_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G10_WORKSTATIONS4_MM53_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M54	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G11_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G11_WORKSTATIONS4_MM54_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M55	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z6_G1_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z6_G1_WORKSTATIONS4_MM55_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M56	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z6_G2_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z6_G2_WORKSTATIONS4_MM56_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M57	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z6_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z6_G3_WORKSTATIONS4_MM57_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M58	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z6_G6_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z6_G6_WORKSTATIONS4_MM58_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M59	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z6_G7_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z6_G7_WORKSTATIONS4_MM59_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M60	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z6_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z6_G8_WORKSTATIONS4_MM60_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M61	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z7_G1_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z7_G1_MALE_WC_MM61_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M62	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z7_G5_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z7_G5_CORRIDOR_MM62_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M63	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z7_G9_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z7_G9_FEMALE_WC_MM63_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M64	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z8_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z8_G3_RECEPTION_MM64_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M65	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z8_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z8_G8_RECEPTION_WC_2_MM65_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M66	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z8_G7_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z8_G7_RECEPTION_WC_2_MM66_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M67	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z8_G6_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z8_G6_RECEPTION_WC_2_MM67_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M68	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z8_G5_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z8_G5_RECEPTION_WC_1_MM68_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M77	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z8_G10_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z8_G10_Male_WC_Lobby_MM77_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M78	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z8_G11_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z8_G11_Female_WC_Lobby_MM78_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M81	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z7_G10_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z7_G10_DISABLED_WC_MM81_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M82	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z6_G4_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z6_G4_Quiet_Room_MM82_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M83	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z6_G5_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z6_G5_Quiet_Room_MM83_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M89	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G7_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G7_QUIET_ROOM_MM89_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M91	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G12_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G12_QUIET_ROOM_MM91_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M92	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G13_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G13_QUIET_ROOM_MM92_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M99	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z7_G11_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z7_G11_WELLNESS_ROOM_MM99_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M22	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G5_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G5_Female_WC_MM22_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M43	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G7_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G7_10p_Meeting_Room_MM43_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M45	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G4_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G4_Female_WC_Lobby_MM45_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M46	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G6_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G6_Business_Support_MM46_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M51	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z4_G14_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z4_G14_Collaboration_Lab_MM51_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M53	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G8_6p_Meeting_Room_MM53_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M58	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G9_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G9_6p_Meeting_Room_MM58_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M59	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G12_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G12_6p_Meeting_Room_MM59_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M60	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G13_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G13_4p_Meeting_Room_MM60_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M47	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z5_G2_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G2_WORKSTATIONS4_MM47_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M47	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G2_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G2_WORKSTATIONS4_MM47_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M52	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G9_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G9_WORKSTATIONS4_MM52_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M90	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z5_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z5_G8_QUIET_ROOM_MM90_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M30	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G1_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z2_G1_AISLE_2_G1_1R_SM30_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_GF_M30	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z2_G1_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d01_Z2_G1_AISLE_2_G1_1R_SM30_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M21	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z2_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G3_Male_WC_MM21_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M21	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z2_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z2_G3_Male_WC_MM21_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M23	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G1_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G1_Workstation4_MM23_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M23	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G1_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G1_Workstation4_MM23_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M24	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G2_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G2_Workstation4_MM24_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M24	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G2_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G2_Workstation4_MM24_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M25	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G3_Workstation4_MM25_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M25	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G3_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G3_Workstation4_MM25_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M26	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G4_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G4_Workstation2_MM26_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M26	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G4_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G4_Workstation2_MM26_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M27	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G7_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G7_Workstation4_MM27_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M27	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G7_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G7_Workstation4_MM27_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M28	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_GF_Z3_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G8_Workstation4_MM28_TRIGGER
http://buildsys.org/ontologies/examples/IBM_B3#Lighting_1F_M28	http://buildsys.org/ontologies/examples/IBM_B3#B3_42_1F_Z3_G8_LGHT_LOAD	http://buildsys.org/ontologies/examples/IBM_B3#d02_Z3_G8_Workstation4_MM28_TRIGGER
